KEY,en,notes,sp,fr,de,it,pt-br,zh
CURRENT_LANGUAGE_NAME,英文,"put ""espanol"" in the spanish column, ""francois"" in the french one, etc. Limited text box space so abbreviate if necessary",Español,Français,Deutsch,Italiano,Português (Brasil),英文
CURRENT_LANGUAGE_SHIPPABLE,是,"put ""yes"" if the language is shippable and ""no"" if its not ready yet. this is not displayed, just used to determine if the language should show in the UI selector",yes,yes,yes,yes,yes,是
,,,,,,,,
SONG_UNLOCK_CREDITS_1,“Get in the Cage” 现在已加入电台播放列表！,,¡Se ha añadido «Get in the Cage» a la lista de la radio!,«&nbsp;L'entrée en cage&nbsp;» est dispo dans la liste de lecture radio&nbsp;!,„Get in the Cage“ kann jetzt im Radio laufen!,"""Get in the Cage"" è ora nella playlist della radio!","""Get in the Cage"" foi adicionada à lista de reprodução de rádio!",“Get in the Cage” 現在已加入電臺播放列表！
SONG_UNLOCK_CREDITS_2,“Future Meets the Past” 现在已加入电台播放列表！,,¡Se ha añadido «Future Meets the Past» a la lista de la radio!,«&nbsp;Le futur face au passé&nbsp;» est dispo dans la liste de lecture radio&nbsp;!,„Future Meets the Past“ kann jetzt im Radio laufen!,"""Future Meets the Past"" è ora nella playlist della radio!","""Future Meets the Past"" foi adicionada à lista de reprodução de rádio!",“Future Meets the Past” 現在已加入電臺播放列表！
,,,,,,,,
,,,,,,,,
CONTROL_BINDING_UNKNOWN,未知,,Desconocido,Inconnu,Unbekannt,Sconosciuto,Desconhecido,未知
CONTROL_BINDING_ANY,任意按钮,,Cualquier botón,N'importe quelle touche,Beliebige Taste,Qualsiasi pulsante,Qualquer botão,任意按鈕
CONTROL_BINDING_LEFTCLICK,左键点击,,Clic izquierdo,Clic gauche,Linksklick,Clic sinistro,Botão esquerdo do mouse,左鍵點擊
CONTROL_BINDING_RIGHTCLICK,右键点击,,Clic derecho,Clic droit,Rechtsklick,Clic destro,Botão direito do mouse,右鍵點擊
CONTROL_BINDING_MIDDLECLICK,中键点击,,Clic central,Clic molette,Mittlere Maustaste,Clic centrale,Botão do meio do mouse,中鍵點擊
CONTROL_BINDING_MOUSE4,鼠标4,,Ratón 4,Clic&nbsp;4,Maus 4,Mouse 4,Mouse 4,鼠標4
CONTROL_BINDING_MOUSE5,鼠标5,,Ratón 5,Clic&nbsp;5,Maus 5,Mouse 5,Mouse 5,鼠標5
CONTROL_BINDING_MOUSEX,鼠标,,Ratón,Souris,Maus,Mouse,Mouse,鼠標
CONTROL_BINDING_MOUSEY,鼠标,,Ratón,Souris,Maus,Mouse,Mouse,鼠標
CONTROL_BINDING_MOUSEWHEELX,鼠标滚轮,,Rueda del ratón,Molette,Mausrad,Rotellina del mouse,Roda do mouse,鼠標滾輪
CONTROL_BINDING_MOUSEWHEELY,鼠标滚轮,,Rueda del ratón,Molette,Mausrad,Rotellina del mouse,Roda do mouse,鼠標滾輪
CONTROL_BINDING_NONE,,purposely empty,,,,,,
,,,,,,,,
ENEMY_FATWOMAN_DESC,"近战攻击者，具有击退效果。
反射投射物。与其接触的单位将被击退。
践踏。",,"Atacante cuerpo a cuerpo con retroceso.
Devuelve los proyectiles. Las unidades que entran en contacto retroceden.
Pisotón.","Attaque au corps à corps avec Recul.
Renvoie les projectiles. Les unités qui le touchent sont repoussées.
Piétinement.","Nahkämpferin mit Rückstoß.
Reflektiert Geschosse. Einheiten, die sie berühren, werden zurückgestoßen.
Trampel.","Attaccante corpo a corpo con Contraccolpo.
Riflette i proiettili. Le unità che la colpiscono vengono respinte indietro.
Calpestamento.","Agressor corpo-a-corpo com empurrão
Reflete projéteis. Unidades que atacam ou entram em contato são empurradas.
Atropelamento.","近戰攻擊者，具有擊退效果。
反射投射物。與其接觸的單位將被擊退。
踐踏。"
EABILITY_BIRTH_NAME,出生,,Nacimiento,Naissance,Gebären,Nascita,Nascimento,出生
,,,,,,,,
SPECIAL_STRAY_BUNNY,兔子,,Conejito,Lapin,Hase,Coniglietto,Coelho,兔子
SPECIAL_STRAY_BEAVER,海狸,,Castor,Castor,Biber,Castoro,Castor,海狸
SPECIAL_STRAY_PIG,猪,,Cerdo,Cochon,Schwein,Maiale,Porco,豬
SPECIAL_STRAY_DOG,狗,,Perro,Chien,Hund,Cane,Cachorro,狗
SPECIAL_STRAY_SKUNK,臭鼬,,Mofeta,Mouffette,Stinktier,Puzzola,Gambá,臭鼬
SPECIAL_STRAY_PORCUPINE,豪猪,,Puercoespín,Porc-épic,Stacheltier,Porcospino,Porco-Espinho,豪豬
SPECIAL_STRAY_ISAAC,艾萨克,,Isaac,Isaac,Isaac,Isaac,Isaac,艾薩克
SPECIAL_STRAY_EDMUND,埃德蒙,,Edmund,Edmund,Edmund,Edmund,Edmund,埃德蒙
SPECIAL_STRAY_TYLER,泰勒,,Tyler,Tyler,Tyler,Tyler,Tyler,泰勒
SPECIAL_STRAY_FIJIMERMAID,斐济美人鱼,,Sirena de Fiyi,Sirène des Fidji,Fidschi-Meerjungfrau,Sirena delle Fiji,Sereia de Fiji,斐濟美人魚
SPECIAL_STRAY_JERSEYDEVIL,泽西恶魔,,Demonio de Jersey,Diable du Jersey,Jersey Devil,Diavolo del Jersey,Demônio de Jersey,澤西惡魔
SPECIAL_STRAY_SONICHU,索尼楚,,Sonichu,Sonichu,Sonichu,Sonichu,Sonichu,索尼楚
