KEY,en,notes,sp,fr,de,it,pt-br,zh
KEYWORD_DEHYDRATED_NAME,熱浪,,Ola de calor,Vague de chaleur,Hitzewelle,Ondata di calore,Onda de Calor,熱浪
KEYWORD_DEHYDRATED_DESC,治療效果減少1。戰鬥後不恢復生命值。可用水緩解。,,Las curaciones se reducen en 1. No se cura tras los combates. Se puede mitigar con agua.,Les soins sont réduits de 1. Aucune régénération de PV après le combat. Peut être dissipé avec de l'eau.,Heilungen sind um 1 reduziert. Heilt sich nach dem Kampf nicht. Kann durch Wasser entfernt werden.,Le cure sono ridotte di 1. Non ci si cura dopo la battaglia. Può essere mitigato con l'acqua.,Curas são reduzidas em 1. Não se cura após a batalha. Pode ser mitigada com água.,治療效果減少1。戰鬥後不恢復生命值。可用水緩解。
,,,,,,,,
DEBUG_TEST_GERMAN_WORDWRAPPING,WWWW&nbsp;WWW[img:str]WWWW WWWWWWWW,"you dont need to localize this, this was just for testing stuff",WWWW&nbsp;WWW[img:str]WWWW WWWWWWWW,WWWW&nbsp;WWW[img:str]WWWW WWWWWWWW,,WWW&nbsp;WWW[img:str]WWWW WWWWWWWWW,WWW&nbsp;WWW[img:str]WWWW WWWWWWWWW,WWWW&nbsp;WWW[img:str]WWWW WWWWWWWW
,,,,,,,,
ADVENTURE_BOX_LABEL,[b]冒險[/b],"this is drawn art in english, and a text box in other languages",[b]Aventura[/b],[b]Aventure[/b],[b]Abenteuer[/b],[b]Avventura[/b],[b]Aventura[/b],[b]冒險[/b]
,,,,,,,,
EVENT_GENIE_CHOICE_WEALTH,財富！,,,La richesse&nbsp;!,Reichtum!,Ricchezza!,Riqueza!,財富！
EVENT_GENIE_CHOICE_LOOKS,外觀！,,,La beauté&nbsp;!,Aussehen!,Aspetto!,Beleza!,外觀！
EVENT_GENIE_CHOICE_POWER,力量！,,,Le pouvoir&nbsp;!,Macht!,Potere!,Poder!,力量！
EVENT_GENIE_CHOICE_CURSEMIND,詛咒心靈,,,Malédiction de l'esprit,Deinen Geist verfluchen,Maledizione della mente,Amaldiçoar mente,詛咒心靈
EVENT_GENIE_CHOICE_CURSEBODY,詛咒身體,,,Malédiction du corps,Deinen Körper verfluchen,Maledizione del corpo,Amaldiçoar corpo,詛咒身體
EVENT_GENIE_CHOICE_CURSESOUL,詛咒靈魂,,,Malédiction de l'âme,Deine Seele verfluchen,Maledizione dell'anima,Amaldiçoar alma,詛咒靈魂
,,,,,,,,
POPUP_SWITCH_LANGUAGE_INGAME_WARNING,某些文本可能在重新啓動遊戲前不會更新爲新語言。,,Es posible que algunos textos no se actualicen al nuevo idioma hasta que reinicies el juego.,Il se peut que certains textes ne changent qu'après avoir redémarré le jeu.,"Starte das Spiel neu, um alle Texte zu aktualisieren.",Alcuni testi potrebbero non aggiornarsi alla nuova lingua finché non riavvii il gioco.,Partes do texto podem não ser atualizadas para o novo idioma até que você reinicie o jogo.,某些文本可能在重新啓動遊戲前不會更新爲新語言。
,,,,,,,,
TOOLTIP_HINT_UNCOMPLETABLE_QUEST_LABEL,有些東西丟失了...,,,Il manque quelque chose...,Etwas fehlt hier&nbsp;…,Manca qualcosa...,Algo está faltando...,有些東西丟失了...
TOOLTIP_HINT_UNCOMPLETABLE_QUEST_DESC,你當前沒有完成此任務的手段。,,,Vous ne pouvez pas effectuer cette quête pour le moment.,Du kannst diese Quest momentan nicht abschließen.,Al momento non hai i mezzi per completare questa missione.,Você não possui os meios para concluir esta missão neste momento.,你當前沒有完成此任務的手段。
,,,,,,,,
EVENT_MYSTERIOUSTENT_PROMPT,進入商店,,,Accès boutique,Shop betreten,Entra nel negozio,Entrar na loja,進入商店
EVENT_TRACY_REW3B,[i]“這裏，喫點東西。”[/i],,,"[i]«&nbsp;Tiens, de quoi manger.&nbsp;»[/i]","[i]„Hier, ein bisschen Futter.“[/i]","[i]""Ecco, prendi del cibo.""[/i]","[i]""Aqui, tome um pouco de comida.""[/i]",[i]“這裏，喫點東西。”[/i]
,,,,,,,,
QEVENT_STACYMUTANT1_NAME,斯泰西實驗,,,Expérience Stacy,Stacys Experiment,Esperimento di Stacy,Experimento de Stacy,斯泰西實驗
QEVENT_STACYMUTANT1_QUES1,"{catname} 發現了一臺帶有多個按鈕的大型機器。

透過透明的窗戶，{he} 看到一隻帶有額外頭部的奇怪貓咪。",First time seeing event only.,,"{catname} découvre une grande machine dotée d'un tas de boutons.

À travers la fenêtre transparente, {he} aperçoit un étrange chat avec une tête supplémentaire.","{catname} findet eine große Maschine mit mehreren Knöpfen.

Durch das Fenster kann {he} eine komische Katze mit zwei Köpfen sehen.","{catname} trova una grande macchina con diversi pulsanti.

Attraverso la finestra trasparente vede uno strano gatto con una testa in più.","{catname} encontra uma máquina grande com vários botões.

Através da janela transparente, é possível ver um gato estranho com uma cabeça extra.","{catname} 發現了一臺帶有多個按鈕的大型機器。

透過透明的窗戶，{he} 看到一隻帶有額外頭部的奇怪貓咪。"
QEVENT_STACYMUTANT1_QUES1_M,,,,,,,,
QEVENT_STACYMUTANT1_QUES1_F,,,,,,,,
