KEY,en,notes,sp,fr,de,it,pt-br,zh
FURNITURE_RARE_FORMAT,稀有 {furniturename},,{furniturename} inusual,{furniturename} rare,{furniturename} (Selten),{furniturename} (raro),{furniturename} (raro),稀有 {furniturename}
FURNITURE_NAME_POOP,粪便,,Caca,Crotte,Häufchen,Cacca,Cocô,糞便
FURNITURE_DESC_POOP,,,,,,,,
FURNITURE_NAME_AUTOFEEDER,自动喂食器,"(cut, no need to localize)",Comedero automático,Autofeeder,,,,自動餵食器
FURNITURE_DESC_AUTOFEEDER,此物品已从游戏中移除，无任何效果。放在家里只是占用空间。,"(cut, no need to localize)","Este objeto ya no está en el juego, de modo que ocupa un espacio innecesario en la casa.",This item got removed from the game and has no effect. Its a waste of space to keep in your house.,,,,此物品已從遊戲中移除，無任何效果。放在家裏只是佔用空間。
FURNITURE_NAME_SPECIAL_FOODBOX,食物储藏箱,,Caja para comida,Boîte de rangement de croquettes,Futterbox,Scatola per il cibo,Caixa de armazenamento de comida,食物儲藏箱
FURNITURE_DESC_SPECIAL_FOODBOX,+40 最大食物,,+40 de máximo de comida,Nourriture max.&nbsp;+40,+40&nbsp;max. Futter,+40 Cibo Massimo,+40 de comida máx.,+40 最大食物
FURNITURE_NAME_SPECIAL_COMFORTIDOL,舒适偶像,,Ídolo de la comodidad,Idole de Bien-être,Idol des Komforts,Idolo del Comfort,Ídolo de conforto,舒適偶像
FURNITURE_DESC_SPECIAL_COMFORTIDOL,,,,,,,,
FURNITURE_NAME_SPECIAL_APPEALIDOL,魅力偶像,,Ídolo del atractivo,Idole d'Attractivité,Idol der Anziehung,Idolo dell'Attrattiva,Ídolo de apelo,魅力偶像
FURNITURE_DESC_SPECIAL_APPEALIDOL,,,,,,,,
FURNITURE_NAME_SPECIAL_HEALTHIDOL,健康偶像,,Ídolo de la salud,Idole de Santé,Idol der Gesundheit,Idolo della Salute,Ídolo de saúde,健康偶像
FURNITURE_DESC_SPECIAL_HEALTHIDOL,,,,,,,,
FURNITURE_NAME_SPECIAL_EVOLUTIONIDOL,进化偶像,,Ídolo de la evolución ,Idole d'Évolution,Idol der Evolution ,Idolo dell'Evoluzione,Ídolo de evolução,進化偶像
FURNITURE_DESC_SPECIAL_EVOLUTIONIDOL,,,,,,,,
FURNITURE_NAME_SPECIAL_STIMULATIONIDOL,刺激偶像,,Ídolo de la estimulación ,Idole de Stimulation,Idol der Stimulation ,Idolo della Stimolazione,Ídolo de estimulação,刺激偶像
FURNITURE_DESC_SPECIAL_STIMULATIONIDOL,,,,,,,,
FURNITURE_NAME_SPECIAL_FIGHTIDOL,混沌偶像,,Ídolo del caos,Idole du Chaos,Idol des Chaos,Idolo del Caos,Ídolo de caos,混沌偶像
FURNITURE_DESC_SPECIAL_FIGHTIDOL,战斗更致命，但获胜的猫获得双倍属性奖励。,,"Los combates son más sangrientos, pero el gato ganador recibe el doble de recompensas de atributos.","Les combats sont plus sanguinaires, mais le chat vainqueur remporte le double des récompenses en stats.","Kämpfe sind tödlicher, aber Attributsbelohnungen sind verdoppelt.","I combattimenti sono più letali, ma il gatto vincitore ottiene il doppio delle ricompense alle statistiche.","Lutas são mais mortais, mas os gatos vencedores obtêm o dobro de recompensas de atributos.",戰鬥更致命，但獲勝的貓獲得雙倍屬性獎勵。
FURNITURE_NAME_SPECIAL_SUPPRESSORIDOL,贞洁偶像,,Ídolo de la castidad,Idole de Chasteté,Idol der Keuschheit,Idolo della castità,Ídolo de castidade,貞潔偶像
FURNITURE_DESC_SPECIAL_SUPPRESSORIDOL,猫咪将不会繁殖。,,Los gatos no se aparean.,Les chats ne se reproduiront pas.,Katzen pflanzen sich nicht fort.,I gatti non si riproducono.,Gatos não procriam.,貓咪將不會繁殖。
FURNITURE_NAME_SET_SPIDER_CANDELABRA,蜘蛛烛台,,Candelabro arácnido,Candélabre araignée,Spinnenkronleuchter,Candelabro aracnide,Candelabro de aranha,蜘蛛燭臺
FURNITURE_DESC_SET_SPIDER_CANDELABRA,,,,,,,,
FURNITURE_NAME_SET_SPIDER_VANITY,蜘蛛化妆台,,Tocador arácnido,Coiffeuse araignée,Spinnenfrisiertisch,Toeletta aracnide,Penteadeira de aranha,蜘蛛化妝臺
FURNITURE_DESC_SET_SPIDER_VANITY,,,,,,,,
