KEY,en,notes,sp,fr,de,it,pt-br,zh
KEYWORD_ADRENALINE_NAME,肾上腺素,,Adrenalina,Adrénaline,Adrenalin,Adrenalina,Adrenalina,腎上腺素
KEYWORD_ADRENALINE_DESC,"保持疲劳值为0。
+25% 暴击率。
+25% 格挡率。",,"Mantiene el agotamiento en 0.
+25 % de probabilidad de crítico.
+25 % de probabilidad de bloqueo.","L'épuisement reste à 0.
Chances de coup critique +25&nbsp;%.
Chances de bloquer +25&nbsp;%.","Erschöpfung bleibt auf 0.
+25&nbsp;% kritische Trefferchance.
+25&nbsp;% Blockwahrscheinlichkeit.","Mantiene la Spossatezza a 0.
+25% probabilità di colpo critico.
+25% probabilità di parata.","Mantém a exaustão em 0.
+25% de chance de crítico.
+25% de chance de bloquear.","保持疲勞值爲0。
+25% 暴擊率。
+25% 格擋率。"
KEYWORD_ALLSTATSUP_NAME,所有属性提升,,Aumento total,Hausse de stats,Bonus auf alle Attribute,Aumento delle Statistiche,Todos os atributos aumentados,所有屬性提升
KEYWORD_ALLSTATSUP_DESC,所有属性提升{stacks},,Todos los atributos aumentan en {stacks}.,Toutes les stats augmentent de {stacks}.,Alle Attribute um {stacks} erhöht,Tutte le statistiche aumentano di {stacks}.,Todos os atributos aumentados em {stacks},所有屬性提升{stacks}
KEYWORD_ALLSTATSDOWN_NAME,所有属性下降,,Reducción total,Baisse de stats,Malus auf alle Attribute,Diminuzione delle Statistiche,Todos os atributos diminuídos,所有屬性下降
KEYWORD_ALLSTATSDOWN_DESC,所有属性下降{absstacks},,Todos los atributos se reducen en {absstacks}.,Toutes les stats baissent de {stacks}.,Alle Attribute um {absstacks} verringert.,Tutte le statistiche diminuiscono di {absstacks}.,Todos os atributos diminuídos em {absstacks},所有屬性下降{absstacks}
KEYWORD_ALPHA_NAME,首领,,Alfa,L'Alpha,Der Alpha,L'Alfa,Alfa,首領
KEYWORD_ALPHA_DESC,这是首领。某些能力与此相关。,,Es la unidad alfa. Ciertas habilidades le tienen cariño.,"L'Alpha, en chair et en os. Certaines compétences le prennent en compte.",Dies ist der Alpha. Relevant für gewisse Fähigkeiten.,Questo è l'Alfa. Alcune abilità ne tengono conto.,Esta unidade possui o papel de alfa. Isso é importante para certas habilidades.,這是首領。某些能力與此相關。
KEYWORD_ALPHA_DESC_STACKLESS,本身无效果。只有一个单位可以是首领。某些法术和能力会为首领提供加成。,,No tiene efectos propios. Tan solo una unidad puede ser alfa. Ciertos hechizos y habilidades ofrecen bonificaciones para el gato alfa.,Aucun effet en soi. Une seule unité peut être l'Alpha. Certains sorts et compétences confèrent des bonus à l'Alpha.,Hat allein keine Wirkung. Nur eine Einheit kann der Alpha sein. Gewisse Zauber und Fähigkeiten verleihen dem Alpha Boni.,Nessun effetto di per sé. Solo un'unità può essere l'Alfa. Alcuni incantesimi e abilità forniscono bonus per l'Alfa.,Nenhum efeito por si só. Apenas uma unidade pode assumir o papel de alfa. Certos encantamentos e habilidades concedem bônus para alfas.,本身無效果。只有一個單位可以是首領。某些法術和能力會爲首領提供加成。
KEYWORD_AMMO_NAME,弹药,,Munición,Munitions,Munition,Munizioni,Munição,彈藥
KEYWORD_AMMO_DESC,{stacks} 发子弹剩余。,,Quedan {stacks} disparos.,Balles qu'il vous reste&nbsp;: {stacks}.,Noch {stacks}&nbsp;Schüsse übrig.,{stacks} colpi rimanenti.,{stacks} disparos restantes.,{stacks} 發子彈剩餘。
