KEY,en,notes,sp,fr,de,it,pt-br,zh
//misc,,,,,,,,
AREA_NAME_TUTORIAL,The Path,,El camino,La Route,Der Trampelpfad,Il Sentiero,O Caminho,小徑
AREA_NAME_HOUSE,Home,,Casa,La Maison,Dein Haus,Casa,Casa,家
AREA_NAME_ALLEY,The Alley,,El callejón,La Ruelle,Die Gasse,Il Vicolo,O Beco,小巷
AREA_NAME_SEWERS,The Sewers,,Las alcantarillas,Les Égouts,Die Kanalisation,Le Fogne,O Esgoto,下水道
AREA_NAME_JUNKYARD,The Junkyard,,El desguace,La Décharge,Der Schrottplatz,La Discarica,O Ferro-Velho,廢料場
AREA_NAME_CAVES,The Caves,,Las cuevas,Les Grottes,Die Höhlen,Le Caverne,As Cavernas,洞穴
AREA_NAME_BONEYARD,The Boneyard,,El cementerio,Le Cimetière,Der Friedhof,Il Cimitero,O Cemitério,骨場
AREA_NAME_MEATWORLD,The Throbbing Domain,,El Dominio Palpitante,Le Domaine lancinant,Das Pulsierende Reich,Il Regno Pulsante,O Domínio Pulsante,跳動領域
AREA_NAME_DESERT,The Desert,,El desierto,Le Désert,Die Wüste,Il Deserto,O Deserto,沙漠
AREA_NAME_CRATER,The Crater,,El cráter,Le Cratère,Der Krater,Il Cratere,A Cratera,彈坑
AREA_NAME_BUNKER,The Bunker,,El búnker,Le Bunker,Der Bunker,Il Bunker,O Bunker,掩體
AREA_NAME_MOON,The Moon,,La luna,La Lune,Der Mond,La Luna,A Lua,月球
AREA_NAME_CORE,The Core,,El núcleo,Le Noyau,Der Kern,Il Nucleo,O Núcleo,核心
AREA_NAME_DIMENSIONX,The Rift,,La Grieta,La Faille,Der Riss,La Fenditura,A Fissura,裂隙
AREA_NAME_LAB,The Lab,,El laboratorio,Le Labo,Das Labor,Il Laboratorio,O Laboratório,實驗室
AREA_NAME_ICEAGE,The Ice Age,,La Edad de Hielo,L'Âge de glace,Die Eiszeit,L'Era Glaciale,A Era do Gelo,冰河時代
AREA_NAME_JURASSIC,The Jurassic,,El Jurásico,Le Jurassique,Der Jura,Il Giurassico,O Jurássico,侏羅紀
AREA_NAME_FUTURE,Das Füture,,Das Füture,Das Füture,Die Zukunft,Das Füture,Das Füture,未來
AREA_NAME_THEEND,The End,,El fin,La Fin,Das Ende,La Fine,O Fim,終結
AREA_NAME_ENDOFTIME,The Infinite,,El infinito,L'Infini,Die Unendlichkeit,L'Infinito,O Infinito,無限
AREA_NAME_UNKNOWN,Somewhere,,Algún lugar,L'Ailleurs,Irgendwo,Da Qualche Parte,Algum Lugar,某處
SAVE_FILE_NO_DATA,No Data,,Sin datos,Aucune donnée,Keine Daten,Nessun dato,Sem Dados,無數據
,,,,,,,,
SAVE_FILE_FIGHT_HOUSEBOSS_GUILLOTINA_1,Fighting Guillotina,,Luchando contra Guillotina,Affrontement&nbsp;: Guillotina,Kampf mit Guillotina,Combattimento contro Guillotina,Enfrentando Guilhotina,戰鬥中：Guillotina
SAVE_FILE_FIGHT_HOUSEBOSS_GUILLOTINA_2,Fighting Guillotina,,Luchando contra Guillotina,Affrontement&nbsp;: Guillotina,Kampf mit Guillotina,Combattimento contro Guillotina,Enfrentando Guilhotina,戰鬥中：Guillotina
SAVE_FILE_FIGHT_HOUSEBOSS_GUILLOTINA_3,Fighting Guillotina,,Luchando contra Guillotina,Affrontement&nbsp;: Guillotina,Kampf mit Guillotina,Combattimento contro Guillotina,Enfrentando Guilhotina,戰鬥中：Guillotina
SAVE_FILE_FIGHT_HOUSEBOSS_PYROPHINA,Fighting Pyrophina,,Luchando contra Pyrophina,Affrontement&nbsp;: Pyrophina,Kampf mit Pyrophina,Combattimento contro Pyrophina,Enfrentando Pyrophina,戰鬥中：Pyrophina
SAVE_FILE_FIGHT_HOUSEBOSS_ZARATANA,Fighting Zaratana,,Luchando contra Zaratana,Affrontement&nbsp;: Zaratana,Kampf mit Zaratana,Combattimento contro Zaratana,Enfrentando Zaratana,戰鬥中：Zaratana
SAVE_FILE_FIGHT_HOUSEBOSS_KAIJUFIGHT,Watching some kaijus duke it out,,Viendo cómo unos kaijus se lían a tortas,Regarde des kaijus se castagner,Kampf zwei riesiger Kaijus,Mentre guardi dei kaiju che se le danno di santa ragione,Vendo alguns kaijus acertarem as contas,觀看一些怪獸的戰鬥
SAVE_FILE_FIGHT_HOUSEBOSS_TERMINATOR_1,Fighting the C-800,,Luchando contra el C-800,Affrontement&nbsp;: C-800,Kampf mit dem C-800,Combattimento contro il C-800,Enfrentando G-800,戰鬥中：C-800
SAVE_FILE_FIGHT_HOUSEBOSS_TERMINATOR_2,Fighting the C-1000,,Luchando contra el C-1000,Affrontement&nbsp;: C-1000,Kampf mit dem C-1000,Combattimento contro il C-100,Enfrentando G-1000,戰鬥中：C-1000
SAVE_FILE_FIGHT_HOUSEBOSS_TERMINATOR_3,Fighting Hitler's Robot Army,,Luchando contra el ejército de robots de Hitler,Affrontement&nbsp;: armée de robots hitlériens,Kampf mit Hitlers Roboterarmee,Combattimento contro l'esercito di robot di Hitler,Enfrentando o exército robótico de Hitler,戰鬥中：希特勒的機器人軍隊
,,,,,,,,
AREA_NAME_ALLEY_BANNER,THE ALLEY,,EL CALLEJÓN,RUELLE,DIE GASSE,IL VICOLO,O BECO,小巷
AREA_NAME_SEWERS_BANNER,SEWERS,,ALCANTARILLAS,ÉGOUTS,KANALISATION,FOGNE,ESGOTO,下水道
AREA_NAME_JUNKYARD_BANNER,JUNKYARD,,DESGUACE,DÉCHARGE,SCHROTTPLATZ,DISCARICA,FERRO-VELHO,廢品場
AREA_NAME_CAVES_BANNER,CAVES,,CUEVAS,GROTTES,HÖHLEN,CAVERNE,CAVERNAS,洞穴
AREA_NAME_BONEYARD_BANNER,BONEYARD,,CEMENTERIO,CIMETIÈRE,FRIEDHOF,CIMITERO,CEMITÉRIO,骨場
AREA_NAME_MEATWORLD_BANNER,THROBBING DOMAIN,,DOMINIO PALPITANTE,DOMAINE LANCINANT,PULSIERENDES REICH,REGNO PULSANTE,DOMÍNIO PULSANTE,跳動領域
AREA_NAME_DESERT_BANNER,DESERT,,DESIERTO,DÉSERT,DIE WÜSTE,DESERTO,DESERTO,沙漠
AREA_NAME_CRATER_BANNER,THE CRATER,,EL CRÁTER,CRATÈRE,DER KRATER,IL CRATERE,A CRATERA,隕石坑
AREA_NAME_BUNKER_BANNER,BUNKER,,BÚNKER,BUNKER,DER BUNKER,BUNKER,BUNKER,掩體
AREA_NAME_MOON_BANNER,THE MOON,,LA LUNA,LUNE,DER MOND,LA LUNA,A LUA,月亮
AREA_NAME_CORE_BANNER,THE CORE,,EL NÚCLEO,NOYAU,DER KERN,IL NUCLEO,O NÚCLEO,核心
AREA_NAME_DIMENSIONX_BANNER,THE RIFT,,LA GRIETA,FAILLE,DER RISS,LA FENDITURA,A FISSURA,裂縫
AREA_NAME_LAB_BANNER,THE LAB,,EL LABORATORIO,LABO,DAS LABOR,IL LABORATORIO,O LABORATÓRIO,實驗室
AREA_NAME_ICEAGE_BANNER,ICE AGE,,EDAD DE HIELO,ÂGE DE GLACE,DIE EISZEIT,L'ERA GLACIALE,ERA DO GELO,冰河時代
AREA_NAME_JURASSIC_BANNER,JURASSIC,,JURÁSICO,JURASSIQUE,DER JURA,GIURASSICO,JURÁSSICO,侏羅紀
