KEY,en,notes,sp,fr,de,it,pt-br,zh
//body,,,,,,,,
MUTATION_BODY_301_DESC,+1 荊棘。,,+1 de espinas.,Épines +1.,+1&nbsp;Dornen.,+1 Spine.,+1 de espinhos.,+1 荊棘。
MUTATION_BODY_309_DESC,與你接觸的單位會被擊退2格。,,Las unidades que entren en contacto con esta retroceden 2 casillas.,Les unités qui vous touchent subissent Recul +2.,"Einheiten, die dich berühren, werden 2&nbsp;Felder zurückgestoßen.",Le unità che ti toccano vengono respinte indietro di 2 caselle.,Unidades que entram em contato com você são empurradas 2 espaços para trás.,與你接觸的單位會被擊退2格。
MUTATION_BODY_312_DESC,受到傷害時生成一枚金幣。,,Genera una moneda al sufrir daño.,"Quand vous subissez des dégâts, une pièce apparaît.","Lasse eine Münze erscheinen, wenn du Schaden erleidest.",Generi una moneta quando subisci danno.,Gere uma moeda ao sofrer dano.,受到傷害時生成一枚金幣。
MUTATION_BODY_313_DESC,+1 動能尖刺。,,+1 de pinchos cinéticos.,Pics cinétiques +1.,+1&nbsp;Kinetiknadeln.,+1 Spuntoni Cinetici.,+1 de espinhos cinéticos.,+1 動能尖刺。
MUTATION_BODY_314_DESC,+2 反傷。,,+2 de espinas.,Épines +2.,+2&nbsp;Dornen.,+2 Spine.,+2 de espinhos.,+2 反傷。
MUTATION_BODY_315_DESC,+1 護腕。,,+1 de refuerzo.,Garde +1.,+1&nbsp;Wappnen.,+1 alla Guardia.,+1 de preparação.,+1 護腕。
MUTATION_BODY_317_DESC,免疫熱浪天氣。,,Inmune a los efectos meteorológicos de las olas de calor.,Immunité aux vagues de chaleur.,Immun gegen Hitzewelle.,Immune alla situazione cliamtica Ondata di Calore.,Imunidade contra tempestades de calor.,免疫熱浪天氣。
MUTATION_BODY_318_DESC,每回合有25%的幾率生成一隻魅惑蒼蠅。,,25 % de probabilidad de generar una mosca embrujada en cada turno.,25&nbsp;% de chances d'invoquer une mouche envoûtée à chaque tour.,"Je Zug 25&nbsp;% Wahrscheinlichkeit, dass eine freundliche Fliege erscheint.",25% di probabilità di generare una Mosca Ammaliata ogni turno.,25% de chance de gerar uma mosca enfeitiçada a cada turno.,每回合有25%的幾率生成一隻魅惑蒼蠅。
MUTATION_BODY_319_DESC,當你受到攻擊傷害時，獲得一個隨機增益。,,"Al sufrir daño de un ataque, obtiene una ventaja al azar.","Quand vous subissez les dégâts d'une attaque, vous bénéficiez d'un bonus aléatoire.","Erhalte eine zufällige Stärkung, wenn du Schaden von einem Angriff erleidest.","Quando subisci danno da un attacco, ottieni un bonus casuale.","Ao sofrer dano de um ataque, obtenha um fortalecimento aleatório.",當你受到攻擊傷害時，獲得一個隨機增益。
MUTATION_BODY_321_DESC,瀕死時生成一隻魅惑小貓寵物。,,Genera un familiar gatito embrujado cuando cae en combate.,"Quand vous êtes mis K.O., un chaton envoûté de compagnie est invoqué.","Lasse einen freundlichen Katzenbegleiter erscheinen, wenn du in Ohnmacht fällst.",Generi un famiglio Gattino Ammaliato quando sei KO.,Gere um filhotinho de gato enfeitiçado ao cair.,瀕死時生成一隻魅惑小貓寵物。
