KEY,en,notes,sp,fr,de,it,pt-br,zh
PASSIVE_SELFASSURED_NAME,自信满满,,Confianza,Assurance,Selbstsicher,Autostima,Autoconfiança,自信滿滿
PASSIVE_SELFASSURED_DESC,每击倒一个单位，获得随机属性提升。,,Obtiene aumento de un atributo al azar cuando abate a una unidad.,Stat aléatoire&nbsp;+1&nbsp;quand vous tuez une unité.,"Erhalte einen Bonus auf ein zufälliges Attribut, wenn du eine Einheit besiegst.",Ottieni un aumento casuale di una statistica ogni volta che mandi KO un'unità.,Obtenha um atributo aleatório aumentado ao deixar uma unidade inconsciente.,每擊倒一個單位，獲得隨機屬性提升。
PASSIVE_SELFASSURED2_DESC,每击倒一个单位，获得全属性提升。,,Obtiene aumento total cuando abate a una unidad.,Hausse de stats quand vous tuez une unité.,"Erhalte einen Bonus auf alle Attribute, wenn du eine Einheit besiegst.",Ottieni Aumento delle Statistiche ogni volta che mandi KO un'unità.,Obtenha todos os atributos aumentados ao deixar uma unidade inconsciente.,每擊倒一個單位，獲得全屬性提升。
PASSIVE_LUCKDRAIN_NAME,幸运吸收,,Chupasuerte,Drain de chances,Glück absaugen,Carico di Fortuna,Dreno de Sorte,幸運吸收
PASSIVE_LUCKDRAIN_DESC,每击倒一个单位，获得 +1 [img:lck]。,,Obtiene +1 [img:lck] cuando una unidad es abatida.,[img:lck]&nbsp;+1&nbsp;quand une unité est abattue.,"Erhalte +1&nbsp;[img:lck], wenn eine Einheit besiegt wird.",Ottieni +1 alla [img:lck] ogni volta che un'unità viene messa KO.,Obtenha +1 de [img:lck] sempre que uma unidade ficar inconsciente.,每擊倒一個單位，獲得 +1 [img:lck]。
PASSIVE_LUCKDRAIN2_DESC,"每击倒一个单位，获得 +1 [img:lck]。
当你击倒一个单位时，额外获得 +2 [img:lck]。",,"Obtiene +1 [img:lck] cuando una unidad es abatida.
Obtiene +2 [img:lck] extra cuando es esta unidad la que abate a otra.",[img:lck]&nbsp;+1&nbsp;quand une unité est abattue. [img:lck]&nbsp;+2&nbsp;supplémentaires quand VOUS tuez une unité.,"Erhalte +1&nbsp;[img:lck], wenn eine Einheit besiegt wird.
Erhalte zusätzlich +2&nbsp;[img:lck], wenn DU eine Einheit besiegst.","Ottieni +1 alla [img:lck] ogni volta che un'unità viene messa KO.
Ottieni un ulteriore +2 alla [img:lck] ogni volta che TU mandi KO un'unità.","Obtenha +1 de [img:lck] sempre que uma unidade ficar inconsciente.
Obtenha +2 de [img:lck] adicionais sempre que VOCÊ deixar uma unidade inconsciente.","每擊倒一個單位，獲得 +1 [img:lck]。
當你擊倒一個單位時，額外獲得 +2 [img:lck]。"
PASSIVE_INFESTED_NAME,被寄生,,Infestación,Infestation,Verseucht,Infestazione,Infestação,被寄生
PASSIVE_INFESTED_DESC,结束回合时有50%几率召唤跳蚤妖灵。,,50 % de probabilidad de generar un familiar pulga al final del turno.,50&nbsp;% de chances de faire apparaître une puce de compagnie à la fin de votre tour.,"50%ige Wahrscheinlichkeit, dass ein Flohbegleiter erscheint, wenn du deinen Zug beendest.",50% di probabilità di generare un famiglio pulce alla fine del tuo turno.,50% de chance de gerar um familiar pulga ao finalizar seu turno.,結束回合時有50%幾率召喚跳蚤妖靈。
PASSIVE_INFESTED2_DESC,"每场战斗开始时召唤2-3只跳蚤。
结束回合时有50%几率召唤跳蚤妖灵。",,"Genera 2-3 pulgas al inicio de cada combate.
50 % de probabilidad de generar un familiar pulga al final del turno.",Fait apparaître 2&nbsp;à 3&nbsp;puces au début de chaque combat. 50&nbsp;% de chances de faire apparaître une puce de compagnie à la fin de votre tour.,"Lasse am Anfang jedes Kampfes 2&nbsp;– 3 Flöhe erscheinen.
50%ige Wahrscheinlichkeit, dass ein Flohbegleiter erscheint, wenn du deinen Zug beendest.","Generi 2-3 pulci all'inizio di ogni battaglia.
50% di probabilità di generare un famiglio Pulce alla fine del tuo turno.","Gere 2-3 pulgas no início de cada batalha.
50% de chance de gerar um familiar pulga ao finalizar seu turno.","每場戰鬥開始時召喚2-3只跳蚤。
結束回合時有50%幾率召喚跳蚤妖靈。"
PASSIVE_WORMS_NAME,蠕虫,,Lombrices,Asticots,Madig,Vermi,Vermes,蠕蟲
