KEY,en,notes,sp,fr,de,it,pt-br,zh
PLAYER_CAT_NAME,{Catname},,{Catname},{Catname},{Catname},{Catname},{Catname},{Catname}
PLAYER_CAT_NAME_M,,,,,,,,
PLAYER_CAT_NAME_F,,,,,,,,
PLAYER_CAT_NAME_N,,,,,,,,
PLAYER_CAT_DESC,貓。,,Un gato.,Un chat.,Katze.,Gatto.,Gato.,貓。
PLAYER_MINIME_NAME,迷你-{Catname},,Mini-{Catname},Mini-{Catname},Mini-{Catname},Mini-{Catname},Mini-{Catname},迷你-{Catname}
PLAYER_MINIME_NAME_M,,,,,,,,
PLAYER_MINIME_NAME_F,,,,,,,,
PLAYER_MINIME_NAME_N,,,,,,,,
PLAYER_MINIMINIME_NAME,迷你-迷你-{Catname},,Mini-Mini-{Catname},Mini-mini-{Catname},Mikro-{Catname},Mini-Mini-{Catname},Mini-Mini-{Catname},迷你-迷你-{Catname}
PLAYER_MINIMINIME_NAME_M,,,,,,,,
PLAYER_MINIMINIME_NAME_F,,,,,,,,
PLAYER_MINIMINIME_NAME_N,,,,,,,,
PLAYER_CATCLONE_NAME,{Catname} 克隆體,,Clon de {Catname},"{Catname}, version clone",Klon von {Catname},Clone di {Catname},Clone de {Catname},{Catname} 克隆體
PLAYER_CATCLONE_NAME_M,,,,{Catname} cloné,,,,
PLAYER_CATCLONE_NAME_F,,,,{Catname} clonée,,,,
PLAYER_CATCLONE_NAME_N,,,,{Catname} cloné(e),,,,
PLAYER_FLESHGOLEM_NAME,肉體魔像,,Gólem carnoso,Golem de chair,Fleischgolem,Golem di Carne,Golem de Carne,肉體魔像
//enemies,,,,,,,,
ENEMY_FLY_NAME,飛行,,Mosca,Mouche,Fliege,Mosca,Mosca,飛行
ENEMY_FLY_DESC,"近戰攻擊者。
飛行。",,"Atacante cuerpo a cuerpo.
Vuela.","Attaque au corps à corps.
Vol.","Nahkämpfer.
Fliegt.","Specialista del corpo a corpo.
Volante.",Agressor corpo-a-corpo,"近戰攻擊者。
飛行。"
ENEMY_MAGGOT_NAME,蛆蟲,,Gusano,Asticot,Made,Larva,Verme,蛆蟲
ENEMY_MAGGOT_DESC,近戰攻擊者。,,Atacante cuerpo a cuerpo.,Attaque au corps à corps.,Nahkämpfer.,Specialista del corpo a corpo.,Agressor corpo-a-corpo,近戰攻擊者。
ENEMY_FLEA_NAME,跳蚤,,Pulga,Puce,Floh,Pulce,Pulga,跳蚤
ENEMY_FLEA_DESC,它的近戰攻擊會傷害自身。,,Se autoinflige daño con su propio ataque cuerpo a cuerpo.,Son attaque au corps à corps lui inflige des dégâts.,Fügt sich durch Nahkampfangriffe selbst Schaden zu.,Il suo attacco corpo a corpo le si ritorce contro.,Seu ataque corpo-a-corpo causa dano contra si mesma.,它的近戰攻擊會傷害自身。
ENEMY_PINKY_NAME,粉紅,,Rosita,Auriculaire,Pinky,Topo Pinky,Mindinho,粉紅
ENEMY_PINKY_DESC,"近戰攻擊者。
隨機移動。",,"Atacante cuerpo a cuerpo.
Se mueve al azar.","Attaque au corps à corps.
Déplacements aléatoires.","Nahkämpfer.
Bewegt sich zufällig.","Specialista del corpo a corpo.
Si muove in maniera casuale.","Agressor corpo-a-corpo.
Move-se aleatoriamente.","近戰攻擊者。
隨機移動。"
ENEMY_MEATMINION_NAME,肉爪牙,,Secuaz carnoso,Larbin de chair,Fleischdiener,Carne da macello,Servo de Carne,肉爪牙
ENEMY_MEATMINION_DESC,,,,,,,,
ENEMY_DIP_NAME,蘸水,,Catalino,Caca,Köttel,Cacchina,Dip,蘸水
ENEMY_DIP_DESC,近戰攻擊者。,,Atacante cuerpo a cuerpo.,Attaque au corps à corps.,Nahkämpfer.,Specialista del corpo a corpo.,Agressor corpo-a-corpo,近戰攻擊者。
ENEMY_RATTLESNEK_NAME,響尾蛇,,Cascabela,Serpent à sonnette,Klapperschlange,Serpentello a Sonagli,Cascavel,響尾蛇
ENEMY_RATTLESNEK_DESC,"伏擊路過的敵人。
其攻擊會造成中毒。",,"Ataca por sorpresa a los enemigos que pasan por su lado.
Inflige veneno con los ataques.","Tend des embuscades aux ennemis qui passent à proximité.
Ses attaques infligent Poison.","Greift Gegner an, die sich über benachbarte Felder bewegen.
Ihr Angriff verursacht Gift.","Tende imboscate ai nemici che lo superano.
I suoi attacchi infliggono Veleno.","Embosca inimigos que passam nas proximidades.
Seus ataques aplicam Veneno.","伏擊路過的敵人。
其攻擊會造成中毒。"
ENEMY_SPIDERLING_NAME,蜘蛛幼崽,,Arañita,Jeune araignée,Spinnenling,Ragnetto,Aranhinha,蜘蛛幼崽
