KEY,en,notes,sp,fr,de,it,pt-br,zh
WEATHER_NONE_NAME,晴朗,,Cielos despejados,Ciel dégagé,Klarer Himmel,Cielo Sereno,Céu limpo,晴朗
WEATHER_NONE_DESC,没有天气效果。,,No hay efectos meteorológicos.,Aucun effet météorologique.,Es sind keine Wettereffekte aktiv.,Nessun effetto meteorologico.,Nenhum efeito de clima.,沒有天氣效果。
WEATHER_FOG_NAME,雾,,Niebla,Brouillard,Nebel,Nebbia,Neblina,霧
WEATHER_FOG_DESC,所有攻击和技能有+10%的几率未命中。,,Todos los ataques y habilidades tienen +10 % de probabilidad de fallar.,+ 10 % de risque d'échec pour toutes les attaques et compétences.,"Alle Angriffe und Fähigkeiten besitzen eine Wahrscheinlichkeit von +10&nbsp;%, nicht zu treffen.",Tutti gli attacchi e le abilità hanno un +10% di probabilità di mancare il bersaglio.,Todos os ataques e habilidades possuem 10% de chance de errar.,所有攻擊和技能有+10%的幾率未命中。
WEATHER_RAIN_NAME,雨,,Lluvia,Pluie,Regen,Pioggia,Chuva,雨
WEATHER_RAIN_DESC,持续的水元素。,,Elemento de agua persistente.,Eau persistante.,Durchgängiger Wassereffekt.,Elemento acqua persistente.,Um elemento persistente de água.,持續的水元素。
WEATHER_HEAVYRAIN_NAME,大雨,,Lluvia torrencial,Forte pluie,Starkregen,Pioggia Intensa,Chuva pesada,大雨
WEATHER_HEAVYRAIN_DESC,持续的水元素。每场战斗都有额外的水元素地形。,,Elemento de agua persistente. Hay casillas de agua extras en todos los combates.,Eau persistante. Des cases d'eau supplémentaires apparaissent à chaque combat.,Durchgängiger Wassereffekt. In jedem Kampf sind zusätzliche Wasserfelder vorhanden.,Elemento acqua persistente. In ogni battaglia sono presenti più caselle d'acqua.,Um elemento persistente de água. Há espaços adicionais de água em cada batalha.,持續的水元素。每場戰鬥都有額外的水元素地形。
WEATHER_WINDY_NAME,有风,,Viento,Vent,Wind,Vento,Vento,有風
WEATHER_WINDY_DESC,每轮结束时，风将所有物体随机吹动1格。,,"Al final de cada ronda, el viento lo mueve todo 1 espacio hacia una dirección al azar.","À la fin de chaque manche, le vent repousse tout d'une case dans une direction aléatoire.",Am Ende jeder Runde weht der Wind alles um 1&nbsp;Feld in eine zufällige Richtung.,"Alla fine di ogni round, il vento fa spostare tutto di 1 spazio in una direzione casuale.","No final de cada rodada, o vento empurra tudo por 1 espaço em uma direção aleatória.",每輪結束時，風將所有物體隨機吹動1格。
WEATHER_SANDSTORM_NAME,沙尘暴,,Tormenta de arena,Tempête de sable,Sandsturm,Tempesta di Sabbia,Tempestade de areia,沙塵暴
